Latitude	Longitude
31.721734	-106.267545
31.721941	-106.267494
31.722149	-106.267451
31.722359	-106.267411
31.722573	-106.267375
31.722786	-106.267339
31.722999	-106.267309
31.723216	-106.267276
31.723434	-106.267249
31.723657	-106.267225
31.72388	-106.267206
31.724105	-106.267194
31.72433	-106.267186
31.724555	-106.267184
31.724783	-106.267187
31.725012	-106.267189
31.725245	-106.267193
31.725478	-106.267197
31.725712	-106.267195
31.725944	-106.267201
31.726178	-106.267221
31.726409	-106.267248
31.726648	-106.267245
31.726883	-106.267244
31.727117	-106.267244
31.72735	-106.267243
31.727583	-106.267245
31.727815	-106.267242
31.728052	-106.267245
31.728284	-106.267243
31.728514	-106.26724
31.728743	-106.267237
31.728971	-106.267222
31.729203	-106.26722
31.729434	-106.26722
31.729664	-106.267222
31.729895	-106.267225
31.730126	-106.267225
31.730358	-106.267226
31.730586	-106.267233
31.730812	-106.267245
31.73104	-106.267258
31.73127	-106.267272
31.7315	-106.267272
31.731731	-106.267277
31.731962	-106.267285
31.732195	-106.267285
31.73243	-106.26729
31.732665	-106.26729
31.732899	-106.267295
31.733133	-106.267302
31.73337	-106.267304
31.733609	-106.267311
31.733848	-106.267317
31.734089	-106.26732
31.734331	-106.267323
31.734573	-106.267326
31.734819	-106.267325
31.735065	-106.267324
31.735314	-106.267323
31.735564	-106.267324
31.735814	-106.267325
31.736062	-106.267329
31.736313	-106.267334
31.736565	-106.26734
31.736818	-106.267346
31.737073	-106.267349
31.737328	-106.267354
31.737581	-106.267356
31.737835	-106.26736
31.738088	-106.267362
31.73834	-106.267366
31.738591	-106.267371
31.738842	-106.267374
31.73909	-106.267379
31.739339	-106.267383
31.739587	-106.267387
31.739838	-106.267392
31.740088	-106.267391
31.740339	-106.267392
31.74059	-106.26739
31.740842	-106.26739
31.741091	-106.26739
31.741339	-106.267394
31.741587	-106.267398
31.741839	-106.267399
31.74209	-106.267401
31.742344	-106.267405
31.742597	-106.267415
31.742854	-106.26742
31.743112	-106.267426
31.743372	-106.267432
31.743632	-106.267437
31.743892	-106.267442
31.74415	-106.267448
31.744406	-106.267462
31.74466	-106.267467
31.744911	-106.267471
31.745162	-106.267476
31.745411	-106.267479
31.745662	-106.267471
31.745912	-106.26747
31.746159	-106.267473
31.74641	-106.267469
31.74666	-106.267466
31.746908	-106.267468
31.747155	-106.267477
31.747404	-106.267482
31.747654	-106.267485
31.747906	-106.267485
31.748157	-106.26749
31.748408	-106.267495
31.748659	-106.267502
31.748913	-106.267507
31.749167	-106.267512
31.74942	-106.267519
31.749676	-106.267523
31.749931	-106.267529
31.750187	-106.267535
31.750444	-106.26754
31.750703	-106.267547
31.750962	-106.267552
31.75122	-106.267556
31.75148	-106.267559
31.75174	-106.267564
31.752001	-106.267569
31.752261	-106.267574
31.752523	-106.267576
31.752785	-106.267574
31.753046	-106.267572
31.753308	-106.267567
31.753568	-106.267562
31.75383	-106.267561
31.75409	-106.267561
31.754349	-106.267564
31.754611	-106.267566
31.754872	-106.267569
31.755133	-106.267572
31.755393	-106.267578
31.755652	-106.267581
31.755912	-106.267585
31.756169	-106.267589
31.756427	-106.267594
31.756684	-106.267597
31.756941	-106.2676
31.757198	-106.267601
31.757453	-106.267602
31.757707	-106.267605
31.75796	-106.267606
31.758211	-106.267609
31.75846	-106.267613
31.758708	-106.267614
31.758956	-106.267614
31.759206	-106.267614
31.759453	-106.267612
31.759699	-106.267612
31.759946	-106.267611
31.760191	-106.267612
31.760437	-106.267611
31.760679	-106.267615
31.760919	-106.267619
31.761161	-106.267618
31.7614	-106.26762
31.761641	-106.267622
31.761879	-106.267627
31.762118	-106.267629
31.76236	-106.267629
31.762602	-106.267629
31.762843	-106.267632
31.763084	-106.267635
31.763325	-106.267637
31.763568	-106.267634
31.763809	-106.267636
31.764051	-106.267637
31.764293	-106.267637
31.764536	-106.267639
